DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumBuildings,NmbFloors,PropertyGFATotal,PropertyGFAParking,GFABuilding_s,All_UseTypes,Largest_UseType,LargestUseType_GFA,Second_UseType,SecondUseType_GFA,Third_UseType,ThirdUseType_GFA,ENERGYSTARScore,SiteEUI_kBtu_sf,SiteEUIWN_kBtu_sf,SourceEUI_kBtu_sf,SourceEUIWN_kBtu_sf,SiteEnergyUse_kBtu,SiteEnergyUseWN_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,TotalGHGEmissions,GHGEmissionsIntensity
2016,NonResidential,K-12 School,3,EAST,1911,1.0,3,56072,0,56072,K-12 School,K-12 School,56072.0,Aucun,0.0,Aucun,0.0,76.0,57.689880867456125,67.80000305,81.09999847,92.69999695,3234787.0,3800842.5,0.0,551867.0,2682920.0,146.34,2.61
2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,1999,1.0,4,122942,44891,78051,"Hotel, Parking",Hotel,78051.0,Parking,44891.0,Aucun,0.0,94.0,43.41343072343056,69.0,136.6999969,138.6999969,5337334.0,5387530.0,0.0,2423730.0,2913604.0,171.64,1.4
2016,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,1962,1.0,2,54984,0,54984,Office,Office,54984.0,Aucun,0.0,Aucun,0.0,71.0,61.38533027789902,66.0,139.6000061,144.5,3375211.0,3630147.25,0.0,1978230.0,1396981.0,87.98,1.6
2016,NonResidential,Hotel,7,LAKE UNION,2008,1.0,6,84103,20732,63371,"Hotel, Parking",Hotel,63371.0,Parking,20732.0,Aucun,0.0,74.0,44.06620453491552,59.79999924,154.1999969,156.6999969,3706100.0,3787499.0,0.0,2812688.0,893412.0,67.06,0.8
2016,NonResidential,Medical Office,3,EAST,1965,1.0,3,179014,0,179014,Medical Office,Medical Office,179014.0,Aucun,0.0,Aucun,0.0,48.0,93.29468086294926,92.30000305,213.3999939,210.3000031,16701054.0,16527711.0,0.0,9886484.0,6814570.0,430.84,2.41
2016,NonResidential,Hotel,3,EAST,1908,1.0,7,76631,0,76631,Hotel,Hotel,76631.0,Aucun,0.0,Aucun,0.0,71.0,94.72351920241155,94.59999847,172.0,171.6999969,7258758.0,7250730.5,0.0,2660742.0,4598016.0,262.75,3.43
2016,NonResidential,Mixed Use Property,3,EAST,1983,1.0,6,99780,9341,90439,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,Parking,20868.0,Office,17020.0,,155.0723140910002,207.3000031,505.7999878,504.2999878,15473115.5,15684371.0,5327802.5,10145313.0,0.0,481.97,4.83
2016,NonResidential,Retail Store,7,LAKE UNION,1929,1.0,2,58320,0,58320,Retail Store,Retail Store,58320.0,Aucun,0.0,Aucun,0.0,96.0,17.999794238683126,17.20000076,25.79999924,28.79999924,1049748.0,1243027.75,0.0,361803.0,687945.0,39.06,0.67
2016,NonResidential,Large Office,7,LAKE UNION,2010,1.0,5,316306,0,316306,"Office, Other, Parking, Retail Store",Office,316306.0,Aucun,0.0,Aucun,0.0,96.0,43.615840357122536,48.40000153,144.0,144.3999939,13795952.0,13909270.0,0.0,12871091.0,924861.0,138.85,0.44
2016,NonResidential,Hotel,3,LAKE UNION,1990,1.0,7,282863,44766,238097,"Hotel, Parking",Hotel,235788.0,Parking,51537.0,Aucun,0.0,37.0,68.79409113245634,85.59999847,184.0,189.1999969,19459303.0,20194606.0,0.0,10980652.0,8478651.0,526.85,1.86
