,SiteEnergyUse_kBtu,TotalGHGEmissions
148,45163304.0,627.87
721,2003807.0,13.97
376,20560620.0,692.12
851,1403820.0,9.79
896,3999505.0,128.41
694,5587347.0,247.97
137,3903258.8125,51.67
1079,3768900.0,50.05
7,16016642.5,691.26
502,7575079.0,109.71
854,3787648.0,26.41
631,4489301.0,72.26
1116,1440554.0,10.04
371,2773647.0,33.41
929,758009.0,25.77
29,6994740.0,247.85
411,8384523.0,119.46
407,4515180.0,50.17
1271,3886545.0,144.41
357,861973.0,16.48
353,3978277.0,132.6
788,1242311.0,25.09
153,13214416.0,298.61
566,1791072.0,13.91
542,4801472.0,154.17
343,6606832.0,134.69
305,8024064.0,262.45
612,1921801.0,19.04
1021,576174.0,4.02
280,7637985.0,53.25
1117,1465796.0,34.03
1163,1439572.0,10.04
1262,1634669.0,11.4
56,18649906.0,490.73
400,7857972.0,54.78
572,1857154.6875,74.92
473,7305473.0,158.55
468,1951856.0,13.61
1052,2177064.6875,78.19
1054,2442220.0,41.96
1233,1835804.0,38.71
1010,1011965.0,7.05
776,1261634.0,27.41
847,326778.0,2.28
504,1069750.0,13.07
534,1408291.0,9.82
720,2021951.0,41.06
903,805643.0,19.51
13,33556752.0,802.89
648,630250.0,18.16
679,5155090.0,127.1
550,1245187.0,8.68
838,1633105.0,11.39
1159,666688.0,20.96
781,873577.0,15.11
300,9937706.0,190.61
1058,26416767.0,449.59
1051,1218112.0,8.49
945,2654315.0,18.5
570,4644177.0,47.66
163,9765776.0,72.42
636,2595783.0,106.45
666,3050455.0,73.52
336,19155415.0,406.02
59,3476212.0,48.76
1274,1933811.0,57.59
1215,595937.0,4.15
53,39605884.0,617.52
490,9941307.0,69.3
326,1770027.0,49.9
449,17074139.0,119.03
855,3612526.0,38.39
1018,1298040.0,14.17
1008,3494929.0,92.7
1081,3168131.0,22.09
823,3846501.0,128.66
939,1758134.0,40.42
826,1286817.0,8.97
437,11480492.25,346.62
670,2303732.0,16.06
563,1067154.0,30.33
1093,336745.0,2.35
1220,1755073.0,51.14
786,7619445.0,173.75
873,34012978.0,565.55
1197,895784.0,14.19
819,579888.0,16.67
219,9474745.0,243.66
1061,2470642.0,17.22
1006,3133850.0,106.35
820,2235765.0,44.26
586,3040196.0,118.37
282,5464762.0,237.36
941,834712.0,5.82
348,7655750.3125,130.31
1186,964236.0,38.18
4,12086616.0,301.81
1162,1200181.0,53.25
1114,782344.0,28.07
463,6345009.0,89.94
1302,3605855.0,157.7
653,2897080.0,36.92
573,3993913.0,126.3
647,534704.0,3.73
595,3987216.0,185.23
890,866126.0,6.04
470,151754.0,1.06
800,1404254.0,31.79
281,402051.0,2.8
932,523614.0,8.7
732,1717131.0,11.97
715,7442314.0,73.48
832,1998725.0,44.28
951,468397.0,9.25
1037,992795.0,47.08
455,690529.0,9.31
584,813641.0,5.67
147,9641041.5,218.53
160,4426136.0,30.86
750,326001.0,2.27
859,9546164.0,294.65
952,1108311.0,16.5
1090,412562.0,2.88
628,361542.0,2.52
606,2615247.0,33.92
164,25307741.0,176.43
106,10557909.0,92.91
1040,6058493.0,42.24
617,1788148.0,61.71
1087,2589388.0,63.81
329,3202212.0,65.3
480,9683978.0,67.51
498,9444483.0,278.97
1210,932083.0,9.09
93,12265516.0,272.85
809,657386.0,4.58
433,12029599.0,260.13
43,3706100.0,67.06
860,1509292.0,37.65
1140,1938777.0,43.91
967,2852102.0,19.88
710,989079.0,16.57
1272,14697485.0,352.77
1241,3020001.0,21.05
765,1088556.0,7.59
885,1035555.0,16.04
556,418348.0,2.92
1238,3782378.0,26.37
69,3242457.0,89.02
514,1618916.0,11.29
509,1938613.0,13.51
340,711119.0,25.74
221,1987934.0,13.86
146,32552425.0,231.32
1053,608756.0,28.78
803,858780.0,14.9
508,10077531.0,267.0
1165,1207504.0,42.71
176,48479982.0,337.97
804,1730601.0,34.26
168,29949243.0,208.79
1127,1244150.0,41.88
1195,127374.0,0.89
129,3444269.75,170.51
189,5252130.0,36.61
136,17867000.0,130.73
894,1435563.0,10.01
197,52226197.0,793.05
290,325513.0,6.32
36,5284343.0,144.79
767,794725.0,18.54
232,5535625.0,38.59
645,2399353.0,81.96
33,4841347.0,59.19
1259,2762846.0,28.85
1068,3542708.0,101.21
865,5144391.0,146.93
341,13133224.0,306.5
1085,2615973.8125,124.59
199,6962072.0,48.54
429,6859197.0,47.82
1285,1546485.0,38.13
876,2520483.0,17.57
730,5437110.0,98.28
919,4323672.0,157.07
297,14715262.0,414.43
73,7946961.0,228.4
807,1388345.0,37.49
547,1062723.0,24.25
949,1815369.0,60.12
1182,1709307.0,49.55
821,1164365.0,33.28
663,1818868.0,30.32
1196,1063269.0,17.65
623,3204685.0,67.52
212,20779794.25,418.9
1035,12434592.0,413.1
1180,8687690.0,206.33
1261,11702958.0,303.69
727,2737835.0,119.34
701,2946756.0,85.55
1022,1682455.0,11.73
1246,5214621.0,81.18
234,4224872.0,93.23
1007,1144267.0,7.98
978,1929851.0,49.18
67,3611538.0,127.29
24,6668568.0,215.0
216,13911758.8125,201.15
812,845044.0,5.94
735,2160420.0,75.99
111,3147042.0,49.09
166,14913422.0,103.97
1244,3543985.0,89.8
207,4549891.0,31.72
274,1429146.0,17.17
41,5337334.0,171.64
591,2178690.0,49.98
525,10960107.0,416.07
287,519806.0,3.62
469,10775645.0,75.12
121,3785282.0,26.39
1300,13239048.0,245.16
928,652992.0,5.09
673,4877958.0,38.12
1141,5134446.0,185.33
886,1234096.0,60.57
956,822636.0,38.38
25,44731153.0,311.84
1134,1100500.0,7.67
149,41213579.0,287.32
925,21022285.0,405.05
696,2998208.0,20.9
843,313528.0,2.19
889,499829.0,14.36
598,1354000.0,35.04
1020,817256.0,27.83
139,18576896.75,213.23
749,1878743.0,55.95
1004,1074350.0,7.49
323,47102426.0,1156.45
180,930612.0,48.65
450,4585070.0,41.8
607,1219745.0,12.48
1043,893053.0,31.54
296,17695416.0,142.36
94,1851260.0,59.34
1183,786324.4063,19.61
637,1829981.0,68.97
286,1536998.0,10.72
488,5453438.0,110.41
444,7802205.0,54.4
275,1047461.0,32.22
806,1294615.0,9.03
1152,1078536.0,7.52
32,5071973.0,35.36
1104,774076.0,26.56
307,4855036.0,33.85
770,876425.0,23.9
11,10750009.5,511.39
872,985402.0,33.8
1067,840549.0,5.86
86,8765977.0,66.3
778,1275232.0,49.73
1060,1027231.0,14.64
1293,2346692.0,65.01
1082,1582656.0,20.66
1065,719905.0,27.93
782,431390.0,17.38
562,3095882.0,86.02
209,14436981.0,100.65
1172,1295485.0,27.06
739,436604.0,3.04
594,3321603.0,130.58
123,5007400.0,68.19
734,1634178.0,14.13
931,495481.0,3.45
98,9472357.0,175.77
377,39403315.0,734.72
130,7739698.0,100.26
23,4145920.0,157.77
1224,954353.0,24.97
555,2385395.0,16.63
370,2581742.0,42.74
383,14751115.0,130.32
201,14940503.0,316.2
917,4069301.0,28.37
368,7221481.0,100.42
973,1922953.0,31.94
387,2729167.0,23.48
816,1121537.0,7.82
256,1090497.0,22.44
1119,2119806.0,35.99
169,14293971.0,384.27
560,439521.0,11.14
373,19248731.0,477.85
909,1628540.0,67.05
719,1761137.0,24.62
791,9336239.0,208.53
954,3573328.0,24.91
1167,2466100.0,96.2
1204,1765814.0,67.33
868,2190460.0,24.31
972,2108861.0,14.7
1155,4857581.0,173.67
1270,42343769.0,1597.56
1071,1391714.0,34.62
964,419979.0,9.29
774,1002995.0,6.99
324,6486377.0,45.22
203,7273155.0,147.75
84,27717032.0,723.47
633,605186.0,15.47
908,4590246.0,174.62
611,433871.0,13.02
398,25478083.0,177.62
91,2944296.0,35.78
1106,1478979.0,10.31
430,21042923.0,314.43
779,10642753.0,225.67
1143,1080821.0,37.43
291,3684188.0,38.48
57,4166305.0,29.04
257,42709620.0,1032.63
888,638507.0,24.76
1268,11624547.0,92.07
1066,1162561.0,28.64
388,5101504.0,35.56
335,22530167.0,640.71
273,7683884.0,53.57
756,2077040.0,86.81
1077,1287497.0,18.76
1258,4307238.0,30.03
128,30985416.0,359.11
802,1208035.0,8.42
28,2951331.0,83.86
1207,3296526.0,115.34
882,1686262.0,61.3
510,7070998.0,49.29
675,2313979.0,16.13
151,8921776.875,175.95
244,2767490.0,29.53
714,966907.0,32.09
543,3377209.0,29.54
544,511797.5,14.22
639,439066.0,3.06
697,1538751.0,48.35
423,16865976.0,293.56
910,655423.0,19.61
1171,1368120.0,29.7
659,4193370.0,110.17
797,5274641.0,36.77
1282,4581492.0,42.2
1201,689803.0,21.87
99,6197825.0,208.26
850,269017.0,2.25
448,19036413.0,132.71
755,7408341.0,92.45
976,1046188.0,18.04
115,3267564.0,101.41
777,1645605.0,53.73
72,9363374.0,176.75
845,1981115.0,19.12
537,859236.0,24.02
849,2826828.0,23.6
174,18967013.0,530.66
87,3191228.0,83.7
551,2067352.0,14.63
705,2465983.75,123.41
314,1124543.0,22.1
600,1906385.0,13.29
1094,1153690.0,20.76
599,4265815.0,188.67
277,227567.0,8.15
1033,1528296.0,39.25
763,378714.0,2.64
835,2619088.0,55.85
1216,1027394.0,7.31
559,1441900.3125,41.69
684,1772188.0,12.35
