DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumBuildings,NmbFloors,PropertyGFATotal,PropertyGFAParking,GFABuilding_s,All_UseTypes,Largest_UseType,LargestUseType_GFA,Second_UseType,SecondUseType_GFA,Third_UseType,ThirdUseType_GFA,ENERGYSTARScore,SiteEUI_kBtu_sf,SiteEUIWN_kBtu_sf,SourceEUI_kBtu_sf,SourceEUIWN_kBtu_sf,SiteEnergyUse_kBtu,SiteEnergyUseWN_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,TotalGHGEmissions,GHGEmissionsIntensity,Age_Building,Ratio_Parking,Ratio_Building,Nombre_Usage_Type,GFA_par_Building,GFA_par_Floor,proportion_Electricity,proportion_Steam,proportion_NaturalGas,Co_stratification,LargestUseType_GFA_proportion,SecondUseType_GFA_proportion,ThirdUseType_GFA_proportion,Neighborhood_H_DOWNTOWN,Neighborhood_H_NORTHEAST,Neighborhood_H_EAST,Neighborhood_H_LAKE UNION,Neighborhood_H_GREATER DUWAMISH,Neighborhood_H_MAGNOLIA / QUEEN ANNE,Neighborhood_H_BALLARD,Neighborhood_H_NORTHWEST,Neighborhood_H_CENTRAL,Neighborhood_H_SOUTHEAST,Neighborhood_H_DELRIDGE,Neighborhood_H_NORTH,Neighborhood_H_SOUTHWEST,BuildingType_H_NonResidential,BuildingType_H_Nonresidential COS,BuildingType_H_SPS-District K-12,BuildingType_H_Campus,PrimaryPropertyType_T_Encoded,Age_Building_groupe,Age_Building_groupe_L
2016,NonResidential,Hotel,7,DOWNTOWN,1983,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,Aucun,0.0,31.0,80.61081817330121,98.59999847,228.5,232.8000031,33556752.0,34351920.0,0.0,21225277.0,12331475.0,802.89,1.93,33.0,20.42,79.58,2.0,416281.0,14867.179,63.0,0.0,37.0,121.0,83.7,20.4,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(28.0, 33.0]",5
2016,NonResidential,Mixed Use Property,7,DOWNTOWN,1907,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,57452.0,Aucun,0.0,Aucun,0.0,,132.39023663231916,137.1000061,280.7000122,285.0,7606083.875,7877219.0,1776201.875,3764791.0,2065091.0,273.02,4.75,109.0,0.0,100.0,5.0,57452.0,11490.4,49.0,23.0,27.0,133.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99199.8160430839,"(105.0, 110.0]",18
2016,NonResidential,Hotel,7,DOWNTOWN,1916,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,Aucun,0.0,Aucun,0.0,39.0,97.31110088929776,97.30000305,225.5,225.5,10154608.0,10154608.0,3430862.0,5908370.0,815376.0,349.32,3.35,100.0,0.0,100.0,1.0,104352.0,10435.2,58.0,34.0,8.0,120.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(96.0, 105.0]",17
2016,NonResidential,Other,7,DOWNTOWN,1916,1.0,10,540360,0,540360,Courthouse,Other,540360.0,Aucun,0.0,Aucun,0.0,76.0,83.24906358723814,87.5,182.6999969,186.6999969,44984464.0,47023088.0,0.0,24357833.0,20626631.0,1265.29,2.34,100.0,0.0,100.0,1.0,540360.0,54036.0,54.0,0.0,46.0,113.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90580.39829884133,"(96.0, 105.0]",17
2016,NonResidential,Other,3,DOWNTOWN,1985,1.0,19,385274,0,385274,Other,Other,385274.0,Aucun,0.0,Aucun,0.0,,124.2227894952683,128.6000061,229.5,232.8999939,47859811.0,49539212.0,0.0,18257661.0,29602150.0,1699.45,4.41,31.0,0.0,100.0,1.0,385274.0,20277.579,38.0,0.0,62.0,132.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90580.39829884133,"(28.0, 33.0]",5
2016,NonResidential,Hotel,4,NORTHEAST,2001,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,Aucun,0.0,84.0,41.35287610619469,63.29999924,148.0,148.5,3663534.0,3673186.75,0.0,2266231.0,1397303.0,90.01,1.02,15.0,34.52,65.48,2.0,88592.0,14765.333,62.0,0.0,38.0,86.0,65.5,34.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(13.0, 17.0]",2
2016,NonResidential,University,7,DOWNTOWN,1928,1.0,7,126593,0,126593,College/University,College/University,126593.0,Aucun,0.0,Aucun,0.0,,89.60752174290838,97.5,173.0,180.0,11343685.0,12183313.0,0.0,4647474.0,6696211.0,388.04,3.07,88.0,0.0,100.0,1.0,126593.0,18084.714,41.0,0.0,59.0,120.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137254.14768806074,"(87.0, 90.0]",15
2016,NonResidential,Other,7,DOWNTOWN,1930,1.0,2,67224,0,67224,Automobile Dealership,Other,67224.0,Aucun,0.0,Aucun,0.0,,19.490598595739616,19.5,61.20000076,61.20000076,1310236.0,1310236.625,0.0,1310236.0,0.0,9.13,0.14,86.0,0.0,100.0,1.0,67224.0,33612.0,100.0,0.0,0.0,14.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90580.39829884133,"(71.0, 87.0]",14
2016,NonResidential,Hotel,7,EAST,1991,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,33.5781844765434,46.29999924,58.0,58.79999924,5328052.0,5424942.0,0.0,572307.0,4755745.0,256.57,1.62,25.0,19.1,80.9,4.0,158676.0,19834.5,11.0,0.0,89.0,55.0,71.0,26.5,2.8000000000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(22.0, 28.0]",4
2016,NonResidential,Hotel,7,DOWNTOWN,2001,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,Aucun,0.0,Aucun,0.0,57.0,64.36360885806384,86.69999695,181.1000061,180.6000061,11061916.0,11171407.0,0.0,5610706.0,5451210.0,328.63,1.91,15.0,22.27,77.73,1.0,171866.0,17186.6,51.0,0.0,49.0,112.0,75.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136578.0691900692,"(13.0, 17.0]",2
