,PropertyGFATotal,PropertyGFAParking,GFA_par_Building,GFA_par_Floor,GFABuilding_s,PrimaryPropertyType_T_Encoded,NumBuildings,NmbFloors,LargestUseType_GFA_proportion,SecondUseType_GFA_proportion,ThirdUseType_GFA_proportion,Ratio_Parking,Ratio_Building,Nombre_Usage_Type,proportion_Electricity,proportion_Steam,proportion_NaturalGas,Neighborhood_H_DOWNTOWN,Neighborhood_H_NORTHEAST,Neighborhood_H_EAST,Neighborhood_H_LAKE UNION,Neighborhood_H_GREATER DUWAMISH,Neighborhood_H_MAGNOLIA / QUEEN ANNE,Neighborhood_H_BALLARD,Neighborhood_H_NORTHWEST,Neighborhood_H_CENTRAL,Neighborhood_H_SOUTHEAST,Neighborhood_H_DELRIDGE,Neighborhood_H_NORTH,Neighborhood_H_SOUTHWEST,BuildingType_H_NonResidential,BuildingType_H_Nonresidential COS,BuildingType_H_Campus,BuildingType_H_SPS-District K-12,Age_Building_groupe_L,Co_stratification,ENERGYSTARScore
524,-0.4954543543365435,-0.32512581792811696,-0.482172325245517,-0.08180235456740155,-0.47776706176024664,-0.4969845221187181,1.0,1.0,100.0,0.0,0.0,0.0,100.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,60.0
157,2.4327727398223655,-0.32512581792811696,2.4872146566205826,-0.27218457006811925,2.977216474560512,2.5408838362441997,1.0,23.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,86.0,77.0
337,0.12845269084130106,-0.32512581792811696,0.1505045124017949,-0.4609943529360374,0.25837412537098803,2.5408838362441997,1.0,11.0,100.0,0.0,0.0,0.0,100.0,4.0,58.0,0.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,128.0,58.0
1230,-0.5065469719667418,-0.32512581792811696,-0.4934208634656683,-0.11601261196872231,-0.4908551215502421,-0.42849418777890996,1.0,1.0,100.0,0.0,0.0,0.0,100.0,2.0,80.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,136.0,1.0
496,-0.11783108622252517,-0.1723503009715681,-0.09924109063456969,-0.24779523653069843,-0.08240506560996835,-0.4969845221187181,1.0,4.0,100.0,0.0,0.0,7.39,92.61,1.0,88.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,87.0
46,-0.03583529984443245,-0.1041477900725699,-0.016092751106990284,-0.3534935555681521,-0.008065818643634327,-0.060662129925955106,1.0,6.0,40.3,20.9,17.1,9.36,90.64,6.0,66.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,141.0,50.5
864,-0.3768740083871199,-0.32512581792811696,-0.3619251844859183,-0.5829704365689355,-0.3378553917249152,0.3890279392304994,1.0,9.0,100.0,0.0,0.0,0.0,100.0,1.0,47.0,0.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,90.0,85.0
462,-0.0401695886809351,-0.32512581792811696,-0.02048796378446034,-0.1879171286385411,0.05941851814765457,-0.16436057046716165,1.0,4.0,100.0,0.0,0.0,0.0,100.0,2.0,88.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,135.0,89.0
759,-0.5540989949313506,-0.32512581792811696,-0.5416412894818634,-0.2626657284652393,-0.5469612400917963,-0.4969845221187181,1.0,1.0,100.0,0.0,0.0,0.0,100.0,2.0,25.0,0.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,41.0,60.0
687,-0.3725660678110215,-0.32512581792811696,-0.35755669042654836,-0.4441994933929129,-0.33277249914614027,-0.4579573386422699,1.0,4.0,100.0,0.0,0.0,0.0,100.0,1.0,44.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,48.0,82.0
439,1.7041642948630473,0.3578455624583131,1.748364710297911,-0.28059247216016275,1.8931613940212333,0.4928554894001949,1.0,18.0,77.4,7.6,5.9,7.93,92.07,3.0,72.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,103.0,68.0
177,2.879105684005623,-0.32512581792811696,2.9398213675821228,0.2267417243296436,3.503839896953803,0.3890279392304994,1.0,12.0,100.0,0.0,0.0,0.0,100.0,2.0,43.0,50.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,124.0,45.0
984,-0.5588153335437153,-0.32512581792811696,-0.5464239221217851,-0.48427059358537444,-0.5525259971046447,-0.7946208380053232,1.0,2.0,100.0,0.0,0.0,0.0,100.0,1.0,24.0,0.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,52.0,65.0
1050,-0.5356420385181585,-0.32512581792811696,-0.522924897502728,-0.20574343556826732,-0.525184076474476,-0.4969845221187181,1.0,1.0,100.0,0.0,0.0,0.0,100.0,2.0,40.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,16.0,65.0
424,-0.08647665634144215,0.17296778837726182,-0.06744593509542461,-0.22362052969722354,-0.1588582984806247,-0.6809150689530434,1.0,4.0,76.1,0.0,0.0,22.86,77.14,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,93.0,5.0
325,-0.0028604519484867353,-0.32512581792811696,0.017345599445312297,0.37302748685669024,0.10343916580236612,-0.4969845221187181,1.0,2.0,100.0,0.0,0.0,0.0,100.0,1.0,65.0,0.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,5.0,93.0
